"version","version_season","season_name","season","full_name","castaway_id","castaway","age","city","state","personality_type","episode","day","order","result","jury_status","original_tribe"
"US","US03","Survivor: Africa",3,"Frank Garrison","US0042","Frank",43,"Odessa","New York","ISTJ",11,30,10,"10th voted out","3rd jury member","Samburu"
"US","US03","Survivor: Africa",3,"Brandon Quinton","US0041","Brandon",25,"Dallas","Texas","ENFP",10,27,9,"9th voted out","2nd jury member","Samburu"
"US","US03","Survivor: Africa",3,"Kelly Goldsmith","US0040","Kelly",22,"San Diego","California","ENTP",9,24,8,"8th voted out","1st jury member","Boran"
"US","US03","Survivor: Africa",3,"Clarence Black","US0039","Clarence",24,"Detroit","Michigan","ISTP",7,21,7,"7th voted out",NA,"Boran"
"US","US03","Survivor: Africa",3,"Lindsey Richter","US0038","Lindsey",26,"Portland","Oregon","ESFP",6,18,6,"6th voted out",NA,"Samburu"
"US","US03","Survivor: Africa",3,"Silas Gaither","US0037","Silas",23,"Los Angeles","California","ESTJ",5,15,5,"5th voted out",NA,"Samburu"
"US","US03","Survivor: Africa",3,"Linda Spencer","US0036","Linda",44,"Boston","Massachusetts","ESFJ",4,12,4,"4th voted out",NA,"Samburu"
"US","US03","Survivor: Africa",3,"Carl Bilancione","US0035","Carl",46,"Winter Springs","Florida","ESTJ",3,9,3,"3rd voted out",NA,"Samburu"
"US","US03","Survivor: Africa",3,"Jessie Camacho","US0034","Jessie",26,"Orlando","Florida","ISFP",2,6,2,"2nd voted out",NA,"Boran"
"US","US03","Survivor: Africa",3,"Diane Ogden","US0033","Diane",42,"Lincoln","Nebraska","ESTP",1,3,1,"1st voted out",NA,"Boran"
"US","US04","Survivor: Marquesas",4,"Vecepia Towery","US0064","Vecepia",36,"Hayward","California","ISTJ",15,39,16,"Sole Survivor",NA,"Maraamu"
"US","US04","Survivor: Marquesas",4,"Neleh Dennis","US0063","Neleh",21,"Layton","Utah","ENFP",15,39,15,"Runner-up",NA,"Rotu"
"US","US04","Survivor: Marquesas",4,"Kathy Vavrick-O'Brien","US0062","Kathy",46,"Burlington","Vermont","ESFJ",14,38,14,"13th voted out","7th jury member","Rotu"
"US","US04","Survivor: Marquesas",4,"Paschal English","US0061","Paschal",56,"Thomaston","Georgia","ISFJ",14,37,13,"Eliminated","6th jury member","Rotu"
"US","US04","Survivor: Marquesas",4,"Sean Rector","US0060","Sean",30,"Los Angeles","California","ENTP",13,36,12,"12th voted out","5th jury member","Maraamu"
"US","US04","Survivor: Marquesas",4,"Robert DeCanio","US0059","Robert",38,"College Point","New York","ISTJ",12,33,11,"11th voted out","4th jury member","Rotu"
"US","US04","Survivor: Marquesas",4,"Tammy Leitner","US0058","Tammy",29,"Mesa","Arizona","ENFJ",11,30,10,"10th voted out","3rd jury member","Rotu"
"US","US04","Survivor: Marquesas",4,"Zoe Zanidakis","US0057","Zoe",35,"Monhegan","Maine","ISTJ",10,27,9,"9th voted out","2nd jury member","Rotu"
"US","US04","Survivor: Marquesas",4,"John Carroll","US0056","John",36,"Omaha","Nebraska","ENTJ",8,24,8,"8th voted out","1st jury member","Rotu"
"US","US04","Survivor: Marquesas",4,"Rob Mariano","US0055","Boston Rob",25,"Canton","Massachusetts","ESTJ",7,21,7,"7th voted out",NA,"Maraamu"
"US","US04","Survivor: Marquesas",4,"Gina Crews","US0054","Gina",28,"Gainesville","Florida","ISFJ",6,18,6,"6th voted out",NA,"Maraamu"
"US","US04","Survivor: Marquesas",4,"Gabriel Cade","US0053","Gabriel",23,"Hollywood","California","INFP",5,15,5,"5th voted out",NA,"Rotu"
"US","US04","Survivor: Marquesas",4,"Sarah Jones","US0052","Sarah",24,"Newport Beach","California","ISFP",4,12,4,"4th voted out",NA,"Maraamu"
"US","US04","Survivor: Marquesas",4,"Hunter Ellis","US0051","Hunter",33,"La Jolla","California","ESTJ",3,9,3,"3rd voted out",NA,"Maraamu"
"US","US04","Survivor: Marquesas",4,"Patricia Jackson","US0050","Patricia",49,"Lugoff","South Carolina","ISFJ",2,6,2,"2nd voted out",NA,"Maraamu"
"US","US04","Survivor: Marquesas",4,"Peter Harkey","US0049","Peter",44,"Millis","Massachusetts","ENFP",1,3,1,"1st voted out",NA,"Maraamu"
"US","US05","Survivor: Thailand",5,"Brian Heidik","US0080","Brian",34,"Quartz Hill","California","ISTP",15,39,16,"Sole Survivor",NA,"Chuay Gahn"
"US","US05","Survivor: Thailand",5,"Clay Jordan","US0079","Clay",46,"Monroe","Louisiana","ESTP",15,39,15,"Runner-up",NA,"Chuay Gahn"
"US","US05","Survivor: Thailand",5,"Jan Gentry","US0078","Jan",53,"Tampa","Florida","ENFP",14,38,14,"14th voted out","7th jury member","Chuay Gahn"
"US","US05","Survivor: Thailand",5,"Helen Glover","US0077","Helen",47,"Middletown","Rhode Island","ISTJ",14,37,13,"13th voted out","6th jury member","Chuay Gahn"
"US","US05","Survivor: Thailand",5,"Ted Rogers Jr.","US0076","Ted",37,"Durham","North Carolina","ESTP",13,36,12,"12th voted out","5th jury member","Chuay Gahn"
"US","US05","Survivor: Thailand",5,"Jake Billingsley","US0075","Jake",60,"McKinney","Texas","ISFJ",12,33,11,"11th voted out","4th jury member","Sook Jai"
"US","US05","Survivor: Thailand",5,"Penny Ramsey","US0074","Penny",27,"Plano","Texas","ESFJ",10,30,10,"10th voted out","3rd jury member","Sook Jai"
"US","US05","Survivor: Thailand",5,"Ken Stafford","US0073","Ken",30,"Brooklyn","New York","ESTJ",9,27,9,"9th voted out","2nd jury member","Sook Jai"
"US","US05","Survivor: Thailand",5,"Erin Collins","US0072","Erin",26,"Austin","Texas","ESFP",8,24,8,"8th voted out","1st jury member","Sook Jai"
"US","US05","Survivor: Thailand",5,"Shii Ann Huang","US0071","Shii Ann",28,"New York City","New York","INTJ",7,21,7,"7th voted out",NA,"Sook Jai"
"US","US05","Survivor: Thailand",5,"Robert Zbacnik","US0070","Robb",23,"Scottsdale","Arizona","ESFP",6,18,6,"6th voted out",NA,"Sook Jai"
"US","US05","Survivor: Thailand",5,"Stephanie Dill","US0069","Stephanie",29,"Ozark","Arkansas","ISTJ",5,15,5,"5th voted out",NA,"Sook Jai"
"US","US05","Survivor: Thailand",5,"Ghandia Johnson","US0068","Ghandia",33,"Denver","Colorado","ESFP",4,12,4,"4th voted out",NA,"Chuay Gahn"
"US","US05","Survivor: Thailand",5,"Jed Hildebrand","US0067","Jed",25,"Dallas","Texas","ISFP",3,9,3,"3rd voted out",NA,"Sook Jai"
"US","US05","Survivor: Thailand",5,"Tanya Vance","US0066","Tanya",27,"Gray","Tennessee","ESTJ",2,6,2,"2nd voted out",NA,"Chuay Gahn"
"US","US05","Survivor: Thailand",5,"John Raymond","US0065","John",40,"Slidell","Louisiana","ENFP",1,3,1,"1st voted out",NA,"Chuay Gahn"
"US","US06","Survivor: The Amazon",6,"Jenna Morasca","US0096","Jenna",21,"Bridgeville","Pennsylvania","ISTP",15,39,16,"Sole Survivor",NA,"Jaburu"
"US","US06","Survivor: The Amazon",6,"Matthew von Ertfelda","US0095","Matthew",33,"Washington","D.C.","INTP",15,39,15,"Runner-up",NA,"Tambaqui"
"US","US06","Survivor: The Amazon",6,"Rob Cesternino","US0094","Rob",24,"Wantagh","New York","ENTP",14,38,14,"14th voted out","7th jury member","Tambaqui"
"US","US06","Survivor: The Amazon",6,"Butch Lockley","US0093","Butch",50,"Olney","Illinois","ISFJ",14,37,13,"13th voted out","6th jury member","Tambaqui"
"US","US06","Survivor: The Amazon",6,"Heidi Strobel","US0092","Heidi",24,"Jefferson City","Missouri","ENTJ",13,36,12,"12th voted out","5th jury member","Jaburu"
"US","US06","Survivor: The Amazon",6,"Christy Smith","US0091","Christy",24,"Basalt","Colorado","INFP",12,33,11,"11th voted out","4th jury member","Jaburu"
"US","US06","Survivor: The Amazon",6,"Alex Bell","US0090","Alex",32,"Los Angeles","California","ENFJ",11,30,10,"10th voted out","3rd jury member","Tambaqui"
"US","US06","Survivor: The Amazon",6,"Deena Bennett","US0089","Deena",35,"Riverside","California","ENTJ",9,27,9,"9th voted out","2nd jury member","Jaburu"
"US","US06","Survivor: The Amazon",6,"Dave Johnson","US0088","Dave",23,"Pasadena","California","ISTJ",8,24,8,"8th voted out","1st jury member","Tambaqui"
"US","US06","Survivor: The Amazon",6,"Roger Sexton","US0087","Roger",56,"Valencia","California","ISTJ",7,21,7,"7th voted out",NA,"Tambaqui"
"US","US06","Survivor: The Amazon",6,"Shawna Mitchell","US0086","Shawna",23,"Los Angeles","California","ENFP",6,18,6,"6th voted out",NA,"Jaburu"
"US","US06","Survivor: The Amazon",6,"Jeanne Hebert","US0085","Jeanne",40,"North Attleboro","Massachusetts","ISTJ",5,15,5,"5th voted out",NA,"Jaburu"
"US","US06","Survivor: The Amazon",6,"JoAnna Ward","US0084","JoAnna",31,"Orangeburg","South Carolina","ISTJ",4,12,4,"4th voted out",NA,"Jaburu"
"US","US06","Survivor: The Amazon",6,"Daniel Lue","US0083","Daniel",26,"Houston","Texas","INFP",3,9,3,"3rd voted out",NA,"Tambaqui"
"US","US06","Survivor: The Amazon",6,"Janet Koth","US0082","Janet",46,"Manchester","Missouri","ISFJ",2,6,2,"2nd voted out",NA,"Jaburu"
"US","US06","Survivor: The Amazon",6,"Ryan Aiken","US0081","Ryan",23,"Ellicott City","Maryland","ESFP",1,3,1,"1st voted out",NA,"Tambaqui"
"US","US07","Survivor: Pearl Islands",7,"Sandra Diaz-Twine","US0112","Sandra",29,"Fort Lewis","Washington","ESTP",15,39,18,"Sole Survivor",NA,"Drake"
"US","US07","Survivor: Pearl Islands",7,"Lillian Morris","US0099","Lillian",51,"Loveland","Ohio","INFP",15,39,17,"Runner-up",NA,"Morgan"
"US","US07","Survivor: Pearl Islands",7,"Jon Dalton","US0111","Jonny Fairplay",29,"Los Angeles","California","ENTP",14,38,16,"15th voted out","7th jury member","Drake"
"US","US07","Survivor: Pearl Islands",7,"Darrah Johnson","US0110","Darrah",22,"Liberty","Mississippi","ISTP",14,37,15,"14th voted out","6th jury member","Morgan"
"US","US07","Survivor: Pearl Islands",7,"Burton Roberts","US0100","Burton",31,"San Francisco","California","ISTJ",13,36,14,"13th voted out","5th jury member","Drake"
"US","US07","Survivor: Pearl Islands",7,"Christa Hastie","US0109","Christa",24,"Los Angeles","California","ESFP",12,33,13,"12th voted out","4th jury member","Drake"
"US","US07","Survivor: Pearl Islands",7,"Tijuana Bradley","US0108","Tijuana",26,"St. Louis","Missouri","ESFP",11,30,12,"11th voted out","3rd jury member","Morgan"
"US","US07","Survivor: Pearl Islands",7,"Rupert Boneham","US0107","Rupert",39,"Indianapolis","Indiana","ESFJ",10,27,11,"10th voted out","2nd jury member","Drake"
"US","US07","Survivor: Pearl Islands",7,"Ryan Opray","US0106","Ryan O.",30,"Los Gatos","California","ISFJ",9,24,10,"9th voted out","1st jury member","Morgan"
"US","US07","Survivor: Pearl Islands",7,"Andrew Savage","US0105","Andrew",39,"Chicago","Illinois","ESTJ",8,21,9,"8th voted out",NA,"Morgan"
"US","US07","Survivor: Pearl Islands",7,"Osten Taylor","US0104","Osten",27,"Boston","Massachusetts","ESFP",7,19,8,"Quit",NA,"Morgan"
"US","US07","Survivor: Pearl Islands",7,"Shawn Cohen","US0103","Shawn",28,"Hollywood","California","ESTP",7,19,7,"7th voted out",NA,"Drake"
"US","US07","Survivor: Pearl Islands",7,"Trish Dunn","US0102","Trish",42,"Annapolis","Maryland","ENFJ",6,18,6,"6th voted out",NA,"Drake"
"US","US07","Survivor: Pearl Islands",7,"Michelle Tesauro","US0101","Michelle",22,"Washington","D.C.","ENFP",5,15,5,"5th voted out",NA,"Drake"
"US","US07","Survivor: Pearl Islands",7,"Burton Roberts","US0100","Burton",31,"San Francisco","California","ISTJ",4,12,4,"4th voted out",NA,"Drake"
"US","US07","Survivor: Pearl Islands",7,"Lillian Morris","US0099","Lillian",51,"Loveland","Ohio","INFP",3,9,3,"3rd voted out",NA,"Morgan"
"US","US07","Survivor: Pearl Islands",7,"Ryan Shoulders","US0098","Ryan S.",23,"Clarksville","Tennessee","INFP",2,6,2,"2nd voted out",NA,"Morgan"
"US","US07","Survivor: Pearl Islands",7,"Nicole Delma","US0097","Nicole",24,"Hermosa Beach","California","INTP",1,3,1,"1st voted out",NA,"Morgan"
"US","US08","Survivor: All-Stars",8,"Amber Brkich","US0027","Amber",25,"Beaver","Pennsylvania","ISFP",17,39,18,"Sole Survivor",NA,"Chapera"
"US","US08","Survivor: All-Stars",8,"Rob Mariano","US0055","Boston Rob",27,"Canton","Massachusetts","ESTJ",17,39,17,"Runner-up",NA,"Chapera"
"US","US08","Survivor: All-Stars",8,"Jenna Lewis","US0009","Jenna L.",26,"Burbank","California","ENFP",16,38,16,"14th voted out","7th jury member","Saboga"
"US","US08","Survivor: All-Stars",8,"Rupert Boneham","US0107","Rupert",39,"Indianapolis","Indiana","ESFJ",16,37,15,"13th voted out","6th jury member","Saboga"
