"version","version_season","season_name","season","episode","day","tribe_status","tribe","castaway","immunity","vote","vote_event","split_vote","nullified","tie","voted_out","order","vote_order","castaway_id","vote_id","voted_out_id"
"US","US01","Survivor: Borneo",1,6,18,"Original","Pagong","Joel",NA,"Jenna",NA,NA,FALSE,FALSE,"Joel",6,1,"US0006","US0009","US0006"
"US","US01","Survivor: Borneo",1,6,18,"Original","Pagong","Gretchen",NA,"Joel",NA,NA,FALSE,FALSE,"Joel",6,1,"US0007","US0006","US0006"
"US","US01","Survivor: Borneo",1,6,18,"Original","Pagong","Greg",NA,"Joel",NA,NA,FALSE,FALSE,"Joel",6,1,"US0008","US0006","US0006"
"US","US01","Survivor: Borneo",1,6,18,"Original","Pagong","Jenna",NA,"Joel",NA,NA,FALSE,FALSE,"Joel",6,1,"US0009","US0006","US0006"
"US","US01","Survivor: Borneo",1,6,18,"Original","Pagong","Gervase",NA,"Jenna",NA,NA,FALSE,FALSE,"Joel",6,1,"US0010","US0009","US0006"
"US","US01","Survivor: Borneo",1,6,18,"Original","Pagong","Colleen",NA,"Joel",NA,NA,FALSE,FALSE,"Joel",6,1,"US0011","US0006","US0006"
"US","US01","Survivor: Borneo",1,7,21,"Merged","Rattana","Gretchen",NA,"Rudy",NA,NA,FALSE,FALSE,"Gretchen",7,1,"US0007","US0014","US0007"
"US","US01","Survivor: Borneo",1,7,21,"Merged","Rattana","Greg","Individual","Jenna",NA,NA,FALSE,FALSE,"Gretchen",7,1,"US0008","US0009","US0007"
"US","US01","Survivor: Borneo",1,7,21,"Merged","Rattana","Jenna",NA,"Gervase",NA,NA,FALSE,FALSE,"Gretchen",7,1,"US0009","US0010","US0007"
"US","US01","Survivor: Borneo",1,7,21,"Merged","Rattana","Gervase",NA,"Sue",NA,NA,FALSE,FALSE,"Gretchen",7,1,"US0010","US0013","US0007"
"US","US01","Survivor: Borneo",1,7,21,"Merged","Rattana","Colleen",NA,"Richard",NA,NA,FALSE,FALSE,"Gretchen",7,1,"US0011","US0016","US0007"
"US","US01","Survivor: Borneo",1,7,21,"Merged","Rattana","Sean",NA,"Colleen",NA,NA,FALSE,FALSE,"Gretchen",7,1,"US0012","US0011","US0007"
"US","US01","Survivor: Borneo",1,7,21,"Merged","Rattana","Sue",NA,"Gretchen",NA,NA,FALSE,FALSE,"Gretchen",7,1,"US0013","US0007","US0007"
"US","US01","Survivor: Borneo",1,7,21,"Merged","Rattana","Rudy",NA,"Gretchen",NA,NA,FALSE,FALSE,"Gretchen",7,1,"US0014","US0007","US0007"
"US","US01","Survivor: Borneo",1,7,21,"Merged","Rattana","Kelly",NA,"Gretchen",NA,NA,FALSE,FALSE,"Gretchen",7,1,"US0015","US0007","US0007"
"US","US01","Survivor: Borneo",1,7,21,"Merged","Rattana","Richard",NA,"Gretchen",NA,NA,FALSE,FALSE,"Gretchen",7,1,"US0016","US0007","US0007"
"US","US01","Survivor: Borneo",1,8,24,"Merged","Rattana","Greg",NA,"Jenna",NA,NA,FALSE,FALSE,"Greg",8,1,"US0008","US0009","US0008"
"US","US01","Survivor: Borneo",1,8,24,"Merged","Rattana","Jenna",NA,"Greg",NA,NA,FALSE,FALSE,"Greg",8,1,"US0009","US0008","US0008"
"US","US01","Survivor: Borneo",1,8,24,"Merged","Rattana","Gervase","Individual","Jenna",NA,NA,FALSE,FALSE,"Greg",8,1,"US0010","US0009","US0008"
"US","US01","Survivor: Borneo",1,8,24,"Merged","Rattana","Colleen",NA,"Jenna",NA,NA,FALSE,FALSE,"Greg",8,1,"US0011","US0009","US0008"
"US","US01","Survivor: Borneo",1,8,24,"Merged","Rattana","Sean",NA,"Greg",NA,NA,FALSE,FALSE,"Greg",8,1,"US0012","US0008","US0008"
"US","US01","Survivor: Borneo",1,8,24,"Merged","Rattana","Sue",NA,"Greg",NA,NA,FALSE,FALSE,"Greg",8,1,"US0013","US0008","US0008"
"US","US01","Survivor: Borneo",1,8,24,"Merged","Rattana","Rudy",NA,"Greg",NA,NA,FALSE,FALSE,"Greg",8,1,"US0014","US0008","US0008"
"US","US01","Survivor: Borneo",1,8,24,"Merged","Rattana","Kelly",NA,"Greg",NA,NA,FALSE,FALSE,"Greg",8,1,"US0015","US0008","US0008"
"US","US01","Survivor: Borneo",1,8,24,"Merged","Rattana","Richard",NA,"Greg",NA,NA,FALSE,FALSE,"Greg",8,1,"US0016","US0008","US0008"
"US","US01","Survivor: Borneo",1,9,27,"Merged","Rattana","Jenna",NA,"Richard",NA,NA,FALSE,FALSE,"Jenna",9,1,"US0009","US0016","US0009"
"US","US01","Survivor: Borneo",1,9,27,"Merged","Rattana","Gervase",NA,"Richard",NA,NA,FALSE,FALSE,"Jenna",9,1,"US0010","US0016","US0009"
"US","US01","Survivor: Borneo",1,9,27,"Merged","Rattana","Colleen",NA,"Richard",NA,NA,FALSE,FALSE,"Jenna",9,1,"US0011","US0016","US0009"
"US","US01","Survivor: Borneo",1,9,27,"Merged","Rattana","Sean",NA,"Jenna",NA,NA,FALSE,FALSE,"Jenna",9,1,"US0012","US0009","US0009"
"US","US01","Survivor: Borneo",1,9,27,"Merged","Rattana","Sue",NA,"Jenna",NA,NA,FALSE,FALSE,"Jenna",9,1,"US0013","US0009","US0009"
"US","US01","Survivor: Borneo",1,9,27,"Merged","Rattana","Rudy","Individual","Jenna",NA,NA,FALSE,FALSE,"Jenna",9,1,"US0014","US0009","US0009"
"US","US01","Survivor: Borneo",1,9,27,"Merged","Rattana","Kelly",NA,"Sean",NA,NA,FALSE,FALSE,"Jenna",9,1,"US0015","US0012","US0009"
"US","US01","Survivor: Borneo",1,9,27,"Merged","Rattana","Richard",NA,"Jenna",NA,NA,FALSE,FALSE,"Jenna",9,1,"US0016","US0009","US0009"
"US","US01","Survivor: Borneo",1,10,30,"Merged","Rattana","Gervase",NA,"Sean",NA,NA,FALSE,FALSE,"Gervase",10,1,"US0010","US0012","US0010"
"US","US01","Survivor: Borneo",1,10,30,"Merged","Rattana","Colleen",NA,"Sean",NA,NA,FALSE,FALSE,"Gervase",10,1,"US0011","US0012","US0010"
"US","US01","Survivor: Borneo",1,10,30,"Merged","Rattana","Sean",NA,"Gervase",NA,NA,FALSE,FALSE,"Gervase",10,1,"US0012","US0010","US0010"
"US","US01","Survivor: Borneo",1,10,30,"Merged","Rattana","Sue",NA,"Gervase",NA,NA,FALSE,FALSE,"Gervase",10,1,"US0013","US0010","US0010"
"US","US01","Survivor: Borneo",1,10,30,"Merged","Rattana","Rudy",NA,"Gervase",NA,NA,FALSE,FALSE,"Gervase",10,1,"US0014","US0010","US0010"
"US","US01","Survivor: Borneo",1,10,30,"Merged","Rattana","Kelly",NA,"Gervase",NA,NA,FALSE,FALSE,"Gervase",10,1,"US0015","US0010","US0010"
"US","US01","Survivor: Borneo",1,10,30,"Merged","Rattana","Richard","Individual","Gervase",NA,NA,FALSE,FALSE,"Gervase",10,1,"US0016","US0010","US0010"
"US","US01","Survivor: Borneo",1,11,33,"Merged","Rattana","Colleen",NA,"Sean",NA,NA,FALSE,FALSE,"Colleen",11,1,"US0011","US0012","US0011"
"US","US01","Survivor: Borneo",1,11,33,"Merged","Rattana","Sean",NA,"Colleen",NA,NA,FALSE,FALSE,"Colleen",11,1,"US0012","US0011","US0011"
"US","US01","Survivor: Borneo",1,11,33,"Merged","Rattana","Sue",NA,"Colleen",NA,NA,FALSE,FALSE,"Colleen",11,1,"US0013","US0011","US0011"
"US","US01","Survivor: Borneo",1,11,33,"Merged","Rattana","Rudy",NA,"Colleen",NA,NA,FALSE,FALSE,"Colleen",11,1,"US0014","US0011","US0011"
"US","US01","Survivor: Borneo",1,11,33,"Merged","Rattana","Kelly","Individual","Sean",NA,NA,FALSE,FALSE,"Colleen",11,1,"US0015","US0012","US0011"
"US","US01","Survivor: Borneo",1,11,33,"Merged","Rattana","Richard",NA,"Colleen",NA,NA,FALSE,FALSE,"Colleen",11,1,"US0016","US0011","US0011"
"US","US01","Survivor: Borneo",1,12,36,"Merged","Rattana","Sean",NA,"Sue",NA,NA,FALSE,FALSE,"Sean",12,1,"US0012","US0013","US0012"
