"version","version_season","season_name","season","episode","order","castaway","castaway_id","tribe","tribe_status","in_the_game"
"US","US01","Survivor: Borneo",1,6,5,"Joel","US0006","Pagong","Original",TRUE
"US","US01","Survivor: Borneo",1,6,5,"Gretchen","US0007","Pagong","Original",TRUE
"US","US01","Survivor: Borneo",1,6,5,"Greg","US0008","Pagong","Original",TRUE
"US","US01","Survivor: Borneo",1,6,5,"Jenna","US0009","Pagong","Original",TRUE
"US","US01","Survivor: Borneo",1,6,5,"Gervase","US0010","Pagong","Original",TRUE
"US","US01","Survivor: Borneo",1,6,5,"Colleen","US0011","Pagong","Original",TRUE
"US","US01","Survivor: Borneo",1,6,5,"Sean","US0012","Tagi","Original",TRUE
"US","US01","Survivor: Borneo",1,6,5,"Sue","US0013","Tagi","Original",TRUE
"US","US01","Survivor: Borneo",1,6,5,"Rudy","US0014","Tagi","Original",TRUE
"US","US01","Survivor: Borneo",1,6,5,"Kelly","US0015","Tagi","Original",TRUE
"US","US01","Survivor: Borneo",1,6,5,"Richard","US0016","Tagi","Original",TRUE
"US","US01","Survivor: Borneo",1,7,6,"Gretchen","US0007","Rattana","Merged",TRUE
"US","US01","Survivor: Borneo",1,7,6,"Greg","US0008","Rattana","Merged",TRUE
"US","US01","Survivor: Borneo",1,7,6,"Jenna","US0009","Rattana","Merged",TRUE
"US","US01","Survivor: Borneo",1,7,6,"Gervase","US0010","Rattana","Merged",TRUE
"US","US01","Survivor: Borneo",1,7,6,"Colleen","US0011","Rattana","Merged",TRUE
"US","US01","Survivor: Borneo",1,7,6,"Sean","US0012","Rattana","Merged",TRUE
"US","US01","Survivor: Borneo",1,7,6,"Sue","US0013","Rattana","Merged",TRUE
"US","US01","Survivor: Borneo",1,7,6,"Rudy","US0014","Rattana","Merged",TRUE
"US","US01","Survivor: Borneo",1,7,6,"Kelly","US0015","Rattana","Merged",TRUE
"US","US01","Survivor: Borneo",1,7,6,"Richard","US0016","Rattana","Merged",TRUE
"US","US01","Survivor: Borneo",1,8,7,"Greg","US0008","Rattana","Merged",TRUE
"US","US01","Survivor: Borneo",1,8,7,"Jenna","US0009","Rattana","Merged",TRUE
"US","US01","Survivor: Borneo",1,8,7,"Gervase","US0010","Rattana","Merged",TRUE
"US","US01","Survivor: Borneo",1,8,7,"Colleen","US0011","Rattana","Merged",TRUE
"US","US01","Survivor: Borneo",1,8,7,"Sean","US0012","Rattana","Merged",TRUE
"US","US01","Survivor: Borneo",1,8,7,"Sue","US0013","Rattana","Merged",TRUE
"US","US01","Survivor: Borneo",1,8,7,"Rudy","US0014","Rattana","Merged",TRUE
"US","US01","Survivor: Borneo",1,8,7,"Kelly","US0015","Rattana","Merged",TRUE
"US","US01","Survivor: Borneo",1,8,7,"Richard","US0016","Rattana","Merged",TRUE
"US","US01","Survivor: Borneo",1,9,8,"Jenna","US0009","Rattana","Merged",TRUE
"US","US01","Survivor: Borneo",1,9,8,"Gervase","US0010","Rattana","Merged",TRUE
"US","US01","Survivor: Borneo",1,9,8,"Colleen","US0011","Rattana","Merged",TRUE
"US","US01","Survivor: Borneo",1,9,8,"Sean","US0012","Rattana","Merged",TRUE
"US","US01","Survivor: Borneo",1,9,8,"Sue","US0013","Rattana","Merged",TRUE
"US","US01","Survivor: Borneo",1,9,8,"Rudy","US0014","Rattana","Merged",TRUE
"US","US01","Survivor: Borneo",1,9,8,"Kelly","US0015","Rattana","Merged",TRUE
"US","US01","Survivor: Borneo",1,9,8,"Richard","US0016","Rattana","Merged",TRUE
"US","US01","Survivor: Borneo",1,10,9,"Gervase","US0010","Rattana","Merged",TRUE
"US","US01","Survivor: Borneo",1,10,9,"Colleen","US0011","Rattana","Merged",TRUE
"US","US01","Survivor: Borneo",1,10,9,"Sean","US0012","Rattana","Merged",TRUE
"US","US01","Survivor: Borneo",1,10,9,"Sue","US0013","Rattana","Merged",TRUE
"US","US01","Survivor: Borneo",1,10,9,"Rudy","US0014","Rattana","Merged",TRUE
"US","US01","Survivor: Borneo",1,10,9,"Kelly","US0015","Rattana","Merged",TRUE
"US","US01","Survivor: Borneo",1,10,9,"Richard","US0016","Rattana","Merged",TRUE
"US","US01","Survivor: Borneo",1,11,10,"Colleen","US0011","Rattana","Merged",TRUE
"US","US01","Survivor: Borneo",1,11,10,"Sean","US0012","Rattana","Merged",TRUE
"US","US01","Survivor: Borneo",1,11,10,"Sue","US0013","Rattana","Merged",TRUE
"US","US01","Survivor: Borneo",1,11,10,"Rudy","US0014","Rattana","Merged",TRUE
"US","US01","Survivor: Borneo",1,11,10,"Kelly","US0015","Rattana","Merged",TRUE
"US","US01","Survivor: Borneo",1,11,10,"Richard","US0016","Rattana","Merged",TRUE
"US","US01","Survivor: Borneo",1,12,11,"Sean","US0012","Rattana","Merged",TRUE
"US","US01","Survivor: Borneo",1,12,11,"Sue","US0013","Rattana","Merged",TRUE
"US","US01","Survivor: Borneo",1,12,11,"Rudy","US0014","Rattana","Merged",TRUE
"US","US01","Survivor: Borneo",1,12,11,"Kelly","US0015","Rattana","Merged",TRUE
"US","US01","Survivor: Borneo",1,12,11,"Richard","US0016","Rattana","Merged",TRUE
"US","US01","Survivor: Borneo",1,13,12,"Sue","US0013","Rattana","Merged",TRUE
"US","US01","Survivor: Borneo",1,13,12,"Rudy","US0014","Rattana","Merged",TRUE
"US","US01","Survivor: Borneo",1,13,12,"Kelly","US0015","Rattana","Merged",TRUE
"US","US01","Survivor: Borneo",1,13,12,"Richard","US0016","Rattana","Merged",TRUE
"US","US01","Survivor: Borneo",1,13,13,"Rudy","US0014","Rattana","Merged",TRUE
"US","US01","Survivor: Borneo",1,13,13,"Kelly","US0015","Rattana","Merged",TRUE
"US","US01","Survivor: Borneo",1,13,13,"Richard","US0016","Rattana","Merged",TRUE
"US","US01","Survivor: Borneo",1,14,14,"Kelly","US0015","Rattana","Merged",TRUE
"US","US01","Survivor: Borneo",1,14,14,"Richard","US0016","Rattana","Merged",TRUE
"US","US01","Survivor: Borneo",1,14,15,"Richard","US0016","Rattana","Merged",TRUE
"US","US02","Survivor: The Australian Outback",2,1,0,"Debb","US0017","Kucha","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,1,0,"Kel","US0018","Ogakor","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,1,0,"Maralyn","US0019","Ogakor","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,1,0,"Mitchell","US0020","Ogakor","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,1,0,"Kimmi","US0021","Kucha","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,1,0,"Michael","US0022","Kucha","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,1,0,"Jeff","US0023","Kucha","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,1,0,"Alicia","US0024","Kucha","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,1,0,"Jerri","US0025","Ogakor","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,1,0,"Nick","US0026","Kucha","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,1,0,"Amber","US0027","Ogakor","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,1,0,"Rodger","US0028","Kucha","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,1,0,"Elisabeth","US0029","Kucha","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,1,0,"Keith","US0030","Ogakor","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,1,0,"Colby","US0031","Ogakor","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,1,0,"Tina","US0032","Ogakor","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,2,1,"Kel","US0018","Ogakor","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,2,1,"Maralyn","US0019","Ogakor","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,2,1,"Mitchell","US0020","Ogakor","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,2,1,"Kimmi","US0021","Kucha","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,2,1,"Michael","US0022","Kucha","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,2,1,"Jeff","US0023","Kucha","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,2,1,"Alicia","US0024","Kucha","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,2,1,"Jerri","US0025","Ogakor","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,2,1,"Nick","US0026","Kucha","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,2,1,"Amber","US0027","Ogakor","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,2,1,"Rodger","US0028","Kucha","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,2,1,"Elisabeth","US0029","Kucha","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,2,1,"Keith","US0030","Ogakor","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,2,1,"Colby","US0031","Ogakor","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,2,1,"Tina","US0032","Ogakor","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,3,2,"Maralyn","US0019","Ogakor","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,3,2,"Mitchell","US0020","Ogakor","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,3,2,"Kimmi","US0021","Kucha","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,3,2,"Michael","US0022","Kucha","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,3,2,"Jeff","US0023","Kucha","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,3,2,"Alicia","US0024","Kucha","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,3,2,"Jerri","US0025","Ogakor","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,3,2,"Nick","US0026","Kucha","Original",TRUE
