"version","version_season","season_name","season","episode","day","castaway_id","castaway","tribe","tribe_status"
"US","US01","Survivor: Borneo",1,5,15,"US0014","Rudy","Tagi","Original"
"US","US01","Survivor: Borneo",1,5,15,"US0015","Kelly","Tagi","Original"
"US","US01","Survivor: Borneo",1,5,15,"US0016","Richard","Tagi","Original"
"US","US01","Survivor: Borneo",1,6,18,"US0006","Joel","Pagong","Original"
"US","US01","Survivor: Borneo",1,6,18,"US0007","Gretchen","Pagong","Original"
"US","US01","Survivor: Borneo",1,6,18,"US0008","Greg","Pagong","Original"
"US","US01","Survivor: Borneo",1,6,18,"US0009","Jenna","Pagong","Original"
"US","US01","Survivor: Borneo",1,6,18,"US0010","Gervase","Pagong","Original"
"US","US01","Survivor: Borneo",1,6,18,"US0011","Colleen","Pagong","Original"
"US","US01","Survivor: Borneo",1,6,18,"US0012","Sean","Tagi","Original"
"US","US01","Survivor: Borneo",1,6,18,"US0013","Sue","Tagi","Original"
"US","US01","Survivor: Borneo",1,6,18,"US0014","Rudy","Tagi","Original"
"US","US01","Survivor: Borneo",1,6,18,"US0015","Kelly","Tagi","Original"
"US","US01","Survivor: Borneo",1,6,18,"US0016","Richard","Tagi","Original"
"US","US01","Survivor: Borneo",1,7,21,"US0007","Gretchen","Rattana","Merged"
"US","US01","Survivor: Borneo",1,7,21,"US0008","Greg","Rattana","Merged"
"US","US01","Survivor: Borneo",1,7,21,"US0009","Jenna","Rattana","Merged"
"US","US01","Survivor: Borneo",1,7,21,"US0010","Gervase","Rattana","Merged"
"US","US01","Survivor: Borneo",1,7,21,"US0011","Colleen","Rattana","Merged"
"US","US01","Survivor: Borneo",1,7,21,"US0012","Sean","Rattana","Merged"
"US","US01","Survivor: Borneo",1,7,21,"US0013","Sue","Rattana","Merged"
"US","US01","Survivor: Borneo",1,7,21,"US0014","Rudy","Rattana","Merged"
"US","US01","Survivor: Borneo",1,7,21,"US0015","Kelly","Rattana","Merged"
"US","US01","Survivor: Borneo",1,7,21,"US0016","Richard","Rattana","Merged"
"US","US01","Survivor: Borneo",1,8,24,"US0008","Greg","Rattana","Merged"
"US","US01","Survivor: Borneo",1,8,24,"US0009","Jenna","Rattana","Merged"
"US","US01","Survivor: Borneo",1,8,24,"US0010","Gervase","Rattana","Merged"
"US","US01","Survivor: Borneo",1,8,24,"US0011","Colleen","Rattana","Merged"
"US","US01","Survivor: Borneo",1,8,24,"US0012","Sean","Rattana","Merged"
"US","US01","Survivor: Borneo",1,8,24,"US0013","Sue","Rattana","Merged"
"US","US01","Survivor: Borneo",1,8,24,"US0014","Rudy","Rattana","Merged"
"US","US01","Survivor: Borneo",1,8,24,"US0015","Kelly","Rattana","Merged"
"US","US01","Survivor: Borneo",1,8,24,"US0016","Richard","Rattana","Merged"
"US","US01","Survivor: Borneo",1,9,27,"US0009","Jenna","Rattana","Merged"
"US","US01","Survivor: Borneo",1,9,27,"US0010","Gervase","Rattana","Merged"
"US","US01","Survivor: Borneo",1,9,27,"US0011","Colleen","Rattana","Merged"
"US","US01","Survivor: Borneo",1,9,27,"US0012","Sean","Rattana","Merged"
"US","US01","Survivor: Borneo",1,9,27,"US0013","Sue","Rattana","Merged"
"US","US01","Survivor: Borneo",1,9,27,"US0014","Rudy","Rattana","Merged"
"US","US01","Survivor: Borneo",1,9,27,"US0015","Kelly","Rattana","Merged"
"US","US01","Survivor: Borneo",1,9,27,"US0016","Richard","Rattana","Merged"
"US","US01","Survivor: Borneo",1,10,30,"US0010","Gervase","Rattana","Merged"
"US","US01","Survivor: Borneo",1,10,30,"US0011","Colleen","Rattana","Merged"
"US","US01","Survivor: Borneo",1,10,30,"US0012","Sean","Rattana","Merged"
"US","US01","Survivor: Borneo",1,10,30,"US0013","Sue","Rattana","Merged"
"US","US01","Survivor: Borneo",1,10,30,"US0014","Rudy","Rattana","Merged"
"US","US01","Survivor: Borneo",1,10,30,"US0015","Kelly","Rattana","Merged"
"US","US01","Survivor: Borneo",1,10,30,"US0016","Richard","Rattana","Merged"
"US","US01","Survivor: Borneo",1,11,33,"US0011","Colleen","Rattana","Merged"
"US","US01","Survivor: Borneo",1,11,33,"US0012","Sean","Rattana","Merged"
"US","US01","Survivor: Borneo",1,11,33,"US0013","Sue","Rattana","Merged"
"US","US01","Survivor: Borneo",1,11,33,"US0014","Rudy","Rattana","Merged"
"US","US01","Survivor: Borneo",1,11,33,"US0015","Kelly","Rattana","Merged"
"US","US01","Survivor: Borneo",1,11,33,"US0016","Richard","Rattana","Merged"
"US","US01","Survivor: Borneo",1,12,36,"US0012","Sean","Rattana","Merged"
"US","US01","Survivor: Borneo",1,12,36,"US0013","Sue","Rattana","Merged"
"US","US01","Survivor: Borneo",1,12,36,"US0014","Rudy","Rattana","Merged"
"US","US01","Survivor: Borneo",1,12,36,"US0015","Kelly","Rattana","Merged"
"US","US01","Survivor: Borneo",1,12,36,"US0016","Richard","Rattana","Merged"
"US","US01","Survivor: Borneo",1,13,37,"US0013","Sue","Rattana","Merged"
"US","US01","Survivor: Borneo",1,13,37,"US0014","Rudy","Rattana","Merged"
"US","US01","Survivor: Borneo",1,13,37,"US0015","Kelly","Rattana","Merged"
"US","US01","Survivor: Borneo",1,13,37,"US0016","Richard","Rattana","Merged"
"US","US01","Survivor: Borneo",1,13,38,"US0014","Rudy","Rattana","Merged"
"US","US01","Survivor: Borneo",1,13,38,"US0015","Kelly","Rattana","Merged"
"US","US01","Survivor: Borneo",1,13,38,"US0016","Richard","Rattana","Merged"
"US","US01","Survivor: Borneo",1,14,39,"US0015","Kelly","Rattana","Merged"
"US","US01","Survivor: Borneo",1,14,39,"US0016","Richard","Rattana","Merged"
"US","US02","Survivor: The Australian Outback",2,1,3,"US0017","Debb","Kucha","Original"
"US","US02","Survivor: The Australian Outback",2,1,3,"US0021","Kimmi","Kucha","Original"
"US","US02","Survivor: The Australian Outback",2,1,3,"US0022","Michael","Kucha","Original"
"US","US02","Survivor: The Australian Outback",2,1,3,"US0023","Jeff","Kucha","Original"
"US","US02","Survivor: The Australian Outback",2,1,3,"US0024","Alicia","Kucha","Original"
"US","US02","Survivor: The Australian Outback",2,1,3,"US0026","Nick","Kucha","Original"
"US","US02","Survivor: The Australian Outback",2,1,3,"US0028","Rodger","Kucha","Original"
"US","US02","Survivor: The Australian Outback",2,1,3,"US0029","Elisabeth","Kucha","Original"
"US","US02","Survivor: The Australian Outback",2,1,3,"US0018","Kel","Ogakor","Original"
"US","US02","Survivor: The Australian Outback",2,1,3,"US0019","Maralyn","Ogakor","Original"
"US","US02","Survivor: The Australian Outback",2,1,3,"US0020","Mitchell","Ogakor","Original"
"US","US02","Survivor: The Australian Outback",2,1,3,"US0025","Jerri","Ogakor","Original"
"US","US02","Survivor: The Australian Outback",2,1,3,"US0027","Amber","Ogakor","Original"
"US","US02","Survivor: The Australian Outback",2,1,3,"US0030","Keith","Ogakor","Original"
"US","US02","Survivor: The Australian Outback",2,1,3,"US0031","Colby","Ogakor","Original"
"US","US02","Survivor: The Australian Outback",2,1,3,"US0032","Tina","Ogakor","Original"
"US","US02","Survivor: The Australian Outback",2,2,6,"US0021","Kimmi","Kucha","Original"
"US","US02","Survivor: The Australian Outback",2,2,6,"US0022","Michael","Kucha","Original"
"US","US02","Survivor: The Australian Outback",2,2,6,"US0023","Jeff","Kucha","Original"
"US","US02","Survivor: The Australian Outback",2,2,6,"US0024","Alicia","Kucha","Original"
"US","US02","Survivor: The Australian Outback",2,2,6,"US0026","Nick","Kucha","Original"
"US","US02","Survivor: The Australian Outback",2,2,6,"US0028","Rodger","Kucha","Original"
"US","US02","Survivor: The Australian Outback",2,2,6,"US0029","Elisabeth","Kucha","Original"
"US","US02","Survivor: The Australian Outback",2,2,6,"US0018","Kel","Ogakor","Original"
"US","US02","Survivor: The Australian Outback",2,2,6,"US0019","Maralyn","Ogakor","Original"
"US","US02","Survivor: The Australian Outback",2,2,6,"US0020","Mitchell","Ogakor","Original"
"US","US02","Survivor: The Australian Outback",2,2,6,"US0025","Jerri","Ogakor","Original"
"US","US02","Survivor: The Australian Outback",2,2,6,"US0027","Amber","Ogakor","Original"
"US","US02","Survivor: The Australian Outback",2,2,6,"US0030","Keith","Ogakor","Original"
"US","US02","Survivor: The Australian Outback",2,2,6,"US0031","Colby","Ogakor","Original"
"US","US02","Survivor: The Australian Outback",2,2,6,"US0032","Tina","Ogakor","Original"
"US","US02","Survivor: The Australian Outback",2,3,9,"US0021","Kimmi","Kucha","Original"
"US","US02","Survivor: The Australian Outback",2,3,9,"US0022","Michael","Kucha","Original"
"US","US02","Survivor: The Australian Outback",2,3,9,"US0023","Jeff","Kucha","Original"
"US","US02","Survivor: The Australian Outback",2,3,9,"US0024","Alicia","Kucha","Original"
"US","US02","Survivor: The Australian Outback",2,3,9,"US0026","Nick","Kucha","Original"
"US","US02","Survivor: The Australian Outback",2,3,9,"US0028","Rodger","Kucha","Original"
"US","US02","Survivor: The Australian Outback",2,3,9,"US0029","Elisabeth","Kucha","Original"
"US","US02","Survivor: The Australian Outback",2,3,9,"US0019","Maralyn","Ogakor","Original"
"US","US02","Survivor: The Australian Outback",2,3,9,"US0020","Mitchell","Ogakor","Original"
"US","US02","Survivor: The Australian Outback",2,3,9,"US0025","Jerri","Ogakor","Original"
