"version","version_season","season_name","season","episode","castaway","castaway_id","confessional_count"
"US","US01","Survivor: Borneo",1,8,"Sue","US0013",8
"US","US01","Survivor: Borneo",1,9,"Colleen","US0011",9
"US","US01","Survivor: Borneo",1,9,"Gervase","US0010",4
"US","US01","Survivor: Borneo",1,9,"Jenna","US0009",5
"US","US01","Survivor: Borneo",1,9,"Kelly","US0015",5
"US","US01","Survivor: Borneo",1,9,"Richard","US0016",8
"US","US01","Survivor: Borneo",1,9,"Rudy","US0014",3
"US","US01","Survivor: Borneo",1,9,"Sean","US0012",5
"US","US01","Survivor: Borneo",1,9,"Sue","US0013",6
"US","US01","Survivor: Borneo",1,10,"Colleen","US0011",3
"US","US01","Survivor: Borneo",1,10,"Gervase","US0010",8
"US","US01","Survivor: Borneo",1,10,"Kelly","US0015",8
"US","US01","Survivor: Borneo",1,10,"Richard","US0016",8
"US","US01","Survivor: Borneo",1,10,"Rudy","US0014",4
"US","US01","Survivor: Borneo",1,10,"Sean","US0012",4
"US","US01","Survivor: Borneo",1,10,"Sue","US0013",8
"US","US01","Survivor: Borneo",1,11,"Colleen","US0011",8
"US","US01","Survivor: Borneo",1,11,"Kelly","US0015",12
"US","US01","Survivor: Borneo",1,11,"Richard","US0016",5
"US","US01","Survivor: Borneo",1,11,"Rudy","US0014",2
"US","US01","Survivor: Borneo",1,11,"Sean","US0012",6
"US","US01","Survivor: Borneo",1,11,"Sue","US0013",10
"US","US01","Survivor: Borneo",1,12,"Kelly","US0015",8
"US","US01","Survivor: Borneo",1,12,"Richard","US0016",8
"US","US01","Survivor: Borneo",1,12,"Rudy","US0014",4
"US","US01","Survivor: Borneo",1,12,"Sean","US0012",7
"US","US01","Survivor: Borneo",1,12,"Sue","US0013",8
"US","US01","Survivor: Borneo",1,13,"Kelly","US0015",15
"US","US01","Survivor: Borneo",1,13,"Richard","US0016",11
"US","US01","Survivor: Borneo",1,13,"Rudy","US0014",8
"US","US01","Survivor: Borneo",1,13,"Sue","US0013",6
"US","US02","Survivor: The Australian Outback",2,1,"Alicia","US0024",1
"US","US02","Survivor: The Australian Outback",2,1,"Amber","US0027",1
"US","US02","Survivor: The Australian Outback",2,1,"Colby","US0031",3
"US","US02","Survivor: The Australian Outback",2,1,"Debb","US0017",4
"US","US02","Survivor: The Australian Outback",2,1,"Elisabeth","US0029",3
"US","US02","Survivor: The Australian Outback",2,1,"Jeff","US0023",5
"US","US02","Survivor: The Australian Outback",2,1,"Jerri","US0025",4
"US","US02","Survivor: The Australian Outback",2,1,"Keith","US0030",4
"US","US02","Survivor: The Australian Outback",2,1,"Kel","US0018",0
"US","US02","Survivor: The Australian Outback",2,1,"Kimmi","US0021",6
"US","US02","Survivor: The Australian Outback",2,1,"Maralyn","US0019",2
"US","US02","Survivor: The Australian Outback",2,1,"Michael","US0022",3
"US","US02","Survivor: The Australian Outback",2,1,"Mitchell","US0020",2
"US","US02","Survivor: The Australian Outback",2,1,"Nick","US0026",1
"US","US02","Survivor: The Australian Outback",2,1,"Rodger","US0028",3
"US","US02","Survivor: The Australian Outback",2,1,"Tina","US0032",0
"US","US02","Survivor: The Australian Outback",2,2,"Alicia","US0024",3
"US","US02","Survivor: The Australian Outback",2,2,"Amber","US0027",1
"US","US02","Survivor: The Australian Outback",2,2,"Colby","US0031",2
"US","US02","Survivor: The Australian Outback",2,2,"Elisabeth","US0029",0
"US","US02","Survivor: The Australian Outback",2,2,"Jeff","US0023",4
"US","US02","Survivor: The Australian Outback",2,2,"Jerri","US0025",9
"US","US02","Survivor: The Australian Outback",2,2,"Keith","US0030",4
"US","US02","Survivor: The Australian Outback",2,2,"Kel","US0018",4
"US","US02","Survivor: The Australian Outback",2,2,"Kimmi","US0021",3
